id,director
17,"John Fawcett, nan, nan, Paul W.S. Anderson, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Howard Baker, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
18,"Luc Besson, Luc Besson, Luc Besson, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Pascal Chaumeil, Pascal Chaumeil, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Olivier Horlait, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, John Ward, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, George Marshall, nan, nan, nan, nan"
19,"Erich Pommer, Fritz Lang, nan, Fritz Lang, Karl Freund, nan, Walter Ruttmann, nan, Edgar G. Ulmer, nan, nan, nan, Fritz Lang, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Karl Freund, nan, nan, nan, nan, nan, nan, nan"
20,"Isabel Coixet, nan, nan, nan, nan, nan, nan, nan, Pedro Almodóvar, nan, nan, nan, nan, nan, nan, nan, nan"
21,"Bruce Brown, Bruce Brown, Bruce Brown, nan, nan, nan, nan, Bruce Brown, Bruce Brown"
22,"nan, nan, Gore Verbinski, nan, nan, nan, nan, Stuart Beattie, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Cedric Nicolas-Troyan, nan, Bruce Hendricks, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Alan James, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Bruce Hendricks, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Kevin Connolly, nan, nan, nan, nan, nan, nan, nan"
24,"Quentin Tarantino, nan, nan, nan, nan, nan, nan, Quentin Tarantino, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Frankie Chung, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Katsuhito Ishii, nan, nan, nan, Mahiro Maeda, nan, nan, nan, nan, nan, nan, nan, Shin'ya Ôhira, nan, nan, nan, nan, nan, Bob Weinstein, Harvey Weinstein, RZA, nan, nan, Quentin Tarantino, nan, nan, Peter Bogdanovich, Robert Rodriguez, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
25,"Thomas Newman, Sam Mendes, Sam Mendes, nan, nan, nan, nan, nan, Jim Morrison, Walter Murch"
26,"nan, Eytan Fox, nan, nan, nan, nan, nan"
27,"Michael Winterbottom, Michael Winterbottom, Michael Winterbottom, Michael Winterbottom, nan, nan, Mat Whitecross, nan, nan"
28,"Francis Ford Coppola, John Milius, Francis Ford Coppola, Francis Ford Coppola, nan, nan, nan, nan, Eddie Romero, nan, nan, nan, nan, nan, Walter Murch, nan, nan, nan, nan, nan, nan, nan, nan, nan, Walter Murch, nan, nan, nan, nan, Francis Ford Coppola, nan, nan, Terry Leonard, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
30,"Kouji Morimoto, nan, Katsuhiro Ōtomo, Satoshi Kon"
33,"Clint Eastwood, Clint Eastwood, nan, nan, nan, nan, Jack Green, nan, nan, nan, nan, nan, nan, nan, nan, nan, David Webb Peoples, David Webb Peoples, nan, nan, Bill Bannerman, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
35,"David Silverman, nan, nan, James L. Brooks, James L. Brooks, nan, nan, nan, nan, nan, nan, David Mirkin, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
38,"Michel Gondry, Michel Gondry, nan, nan, Ellen Kuras, Charlie Kaufman, Charlie Kaufman, Charlie Kaufman, nan, nan, nan, nan, Valdís Óskarsdóttir, nan, nan, nan, nan, nan, nan, Mary Cybulski, nan"
55,"Alejandro González Iñárritu, Guillermo Arriaga, nan, Alejandro González Iñárritu, nan, nan, Alejandro González Iñárritu, nan, nan, Guillermo Arriaga, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Adrian Grunberg, nan, nan, nan, nan, nan, nan, nan, nan, nan, Adrian Grunberg, nan, nan, nan, nan, nan, nan, Carlos Bolado, Guillermo del Toro, nan, nan, nan, nan, nan, David Campbell, nan, Alfonso Cuarón, Carlos Cuarón, nan, Rodrigo Cortés, nan, nan, nan, Luis Mandoki, Antonio Serrano, nan, nan, nan, nan"
58,"nan, Gore Verbinski, nan, nan, nan, nan, nan, nan, nan, nan, Bruce Hendricks, nan, nan, nan, nan, nan, nan, nan, James Ward Byrkit, nan, nan, nan, Cedric Nicolas-Troyan"
59,"David Cronenberg, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Kent Alterman, nan, nan, nan, nan, nan, nan, nan, nan, Clive Turner, nan, nan, nan, nan, nan, nan, nan"
62,"Stanley Kubrick, Stanley Kubrick, Stanley Kubrick, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
63,"Terry Gilliam, David Webb Peoples, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Matt Codd, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
64,"nan, Pedro Almodóvar, Pedro Almodóvar, Pedro Almodóvar, nan, nan, nan, nan, nan, nan, nan, nan"
65,"Curtis Hanson, Scott Silver, nan, nan, nan, nan, nan, Curtis Hanson, nan, nan, nan, James Whitaker, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Stanton Barrett, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
66,"Clint Eastwood, Clint Eastwood, nan, nan, Jack Green, nan, nan, nan, nan, nan, nan, nan, Clint Eastwood, nan, nan, nan, nan, nan"
67,"nan, Hany Abu-Assad, Hany Abu-Assad, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
68,"Terry Gilliam, Terry Gilliam, Tom Stoppard, nan, nan, nan, nan, nan, nan, nan, Julian Doyle, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
69,"James Mangold, James Mangold, Gill Dennis, James Keach, nan, nan, Alan C. Blomquist, Alan C. Blomquist, Phedon Papamichael, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Nicholas Mastandrea, nan, nan, nan, nan, nan, Rick Avery, nan, nan, nan, nan, nan, Robert Stromberg, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
70,"Clint Eastwood, Clint Eastwood, Clint Eastwood, nan, nan, nan, nan, nan, nan, nan, nan, Paul Haggis, Paul Haggis, nan, nan, nan, Tom Stern, nan, nan, Robert Lorenz, Robert Lorenz, nan, nan, nan, nan, nan, nan, Buddy Van Horn, nan, nan, nan, nan, nan, Robert Moresco, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Stephen S. Campanelli, Stephen S. Campanelli, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
71,"nan, nan, nan, nan, nan, nan, Stephen Daldry, nan, nan, nan, nan, nan, nan, John Wilson, nan, nan, nan"
73,"nan, nan, Tony Kaye, Tony Kaye, nan, nan, nan, nan, nan, nan, Valerie McCaffrey, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Jon Hess, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
74,"John Williams, nan, Steven Spielberg, nan, nan, Janusz Kamiński, nan, nan, nan, nan, nan, nan, nan, David Koepp, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Vic Armstrong, Vic Armstrong, nan, nan, R.J. Kizer, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Ron Judkins, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
75,"Tim Burton, Tim Burton, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, John Dexter, nan, nan, nan, nan, nan, nan, Kyle Balda, nan"
76,"Richard Linklater, nan, nan, nan, nan, nan, nan, nan, nan, nan, Richard Linklater, nan"
77,"Christopher Nolan, Christopher Nolan, nan, nan, nan, nan, nan, Wally Pfister, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
78,"nan, Ridley Scott, nan, nan, nan, Hampton Fancher, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, David Webb Peoples, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
79,"Zhang Yimou, Zhang Yimou, Zhang Yimou, nan, nan, nan, nan, nan, nan, nan, Christopher Doyle, nan, nan, nan, nan, nan, nan, nan, Hou Yong"
80,"Richard Linklater, Richard Linklater, Richard Linklater, Richard Linklater, Richard Linklater, nan, nan, Ethan Hawke, nan, nan, nan, Julie Delpy, nan, nan, nan"
81,"Hayao Miyazaki, Hayao Miyazaki, Hayao Miyazaki, Hayao Miyazaki, Isao Takahata, nan, nan, nan, nan, nan, nan, Kazuyoshi Katayama, nan, nan, nan, nan, nan, nan, nan, nan, nan"
82,"nan, nan, Michael Mann, Michael Mann, Michael Mann, Pieter Jan Brugge, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, James Muro, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
83,"Chris Kentis, Chris Kentis, Chris Kentis, Chris Kentis, Laura Lau, Laura Lau, nan, nan, nan, nan, nan, nan, nan, Jim Finn, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
85,"George Lucas, George Lucas, George Lucas, John Williams, Steven Spielberg, nan, nan, nan, Philip Kaufman, Frank Marshall, nan, nan, nan, nan, Ben Burtt, nan, nan, Michael Bay, nan, Lawrence Kasdan, nan, nan, nan, nan, nan, nan, Vic Armstrong, Terry Leonard, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Jim Gillespie, nan, nan"
86,"Oskar Roehler, Oskar Roehler, Bernd Eichinger, nan, nan, nan, nan, nan, nan, Michel Houellebecq, nan, nan"
87,"Steven Spielberg, Willard Huyck, Gloria Katz, nan, George Lucas, Frank Marshall, John Williams, nan, nan, nan, nan, nan, nan, George Lucas, nan, Ben Burtt, Frank Marshall, nan, nan, Phil Tippett, George Lucas, George Lucas, Philip Kaufman, nan, nan, Peter Howitt, Anthony Powell, nan"
88,"Emile Ardolino, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Eleanor Bergstein, Kenny Ortega, nan, nan, nan, nan, Danny Goldberg, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Eleanor Bergstein"
89,"George Lucas, George Lucas, George Lucas, John Williams, Steven Spielberg, nan, nan, nan, Philip Kaufman, Frank Marshall, Frank Marshall, nan, Ben Burtt, nan, nan, nan, Menno Meyjes, nan, nan, nan, nan, Michael D. Moore, nan, Peter Howitt, Anthony Powell, nan, nan, Vic Armstrong, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
90,"Martin Brest, nan, nan, nan, Daniel Petrie, Jr., nan, nan, nan, nan, Daniel Petrie, Jr., nan, nan, nan, nan, nan, nan, Billy Weber"
91,"Luis Buñuel, Luis Buñuel, Luis Buñuel, Luis Buñuel, Pierre Unik, Pierre Unik, nan, nan, nan, nan, nan, nan"
92,"Michael Glawogger, Michael Glawogger, nan, nan, nan, nan, nan, nan, nan, nan"
93,"Otto Preminger, nan, Otto Preminger, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Don Hall, nan, nan, nan, nan, nan, nan, nan, Saul Bass, nan, nan"
95,"nan, nan, nan, nan, nan, nan, nan, Michael Bay, Michael Bay, nan, nan, Jonathan Hensleigh, nan, nan, nan, Mark Goldblatt, nan, nan, nan, nan, nan, nan, nan, Shane Salerno, nan, nan, nan, nan, nan, nan, J.J. Abrams, nan, Tony Gilroy, nan, nan, nan, nan, nan, nan, nan, Hoyt Yeatman, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
96,"nan, nan, nan, nan, nan, Daniel Petrie, Jr., Eddie Murphy, nan, nan, Tony Scott, nan, Billy Weber, nan, nan, nan, nan, Larry Ferguson, nan, nan, nan, nan, nan, nan, nan, nan, nan"
97,"nan, Steven Lisberger, Steven Lisberger, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
98,"Ridley Scott, nan, nan, nan, nan, nan, William Nicholson, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Alexander Witt, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Ridley Scott, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
99,"Pedro Almodóvar, nan, nan, Pedro Almodóvar, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
100,"Guy Ritchie, Matthew Vaughn, nan, nan, nan, nan, nan, nan, Guy Ritchie, nan, Guy Ritchie, nan"
101,"Luc Besson, nan, nan, nan, nan, nan, nan, nan, nan, nan, Luc Besson, nan, nan, nan, nan, nan, nan, Pascal Chaumeil, nan"
102,"nan, nan, Susanne Bier, Anders Thomas Jensen, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
103,"Martin Scorsese, nan, nan, Michael Chapman, nan, nan, nan, nan, nan, Gordon Davidson, nan, nan, nan, nan, nan, nan, Paul Schrader, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Ralph S. Singleton, nan, nan, nan, Billy Weber, nan, nan, nan, nan, nan"
104,"Tom Tykwer, nan, Tom Tykwer, nan, nan, nan, nan, nan, nan, nan, nan, nan, Tom Tykwer, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Wolfgang Becker, nan, nan, nan, nan, nan, nan, nan, nan, nan, Christof Wahl, nan, nan, nan"
105,"Robert Zemeckis, Bob Gale, nan, Dean Cundey, nan, nan, nan, nan, nan, nan, nan, Robert Zemeckis, Bob Gale, nan, Frank Marshall, Steven Spielberg, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Ralph Nelson, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
106,"John McTiernan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Mark Helfrich, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Craig R. Baxley, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
107,"nan, nan, nan, Guy Ritchie, Guy Ritchie, Matthew Vaughn, nan, nan, Jon Harris, nan, nan, nan, nan, nan, nan, Trudie Styler, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Tom Roberts, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
108,"nan, nan, Agnieszka Holland, Krzysztof Kieślowski, Krzysztof Kieślowski, Krzysztof Kieślowski, nan, Marin Karmitz, nan, nan, nan"
109,"Marin Karmitz, nan, nan, nan, Krzysztof Kieślowski, Krzysztof Kieślowski, nan, nan, nan, nan, nan, nan"
110,"Krzysztof Kieślowski, Krzysztof Kieślowski, Krzysztof Kieślowski, nan, nan, Marin Karmitz, nan, nan, nan, nan"
111,"Brian De Palma, nan, John A. Alonzo, nan, nan, nan, David Ray, nan, Oliver Stone, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
112,"nan, nan, Lone Scherfig, Lone Scherfig, nan, nan, nan, nan"
113,"Kim Ki-duk, Kim Ki-duk, Kim Ki-duk, nan, nan, nan, nan, nan, nan, nan, nan, nan"
114,"nan, nan, Garry Marshall, J. F. Lawton, nan, nan, Raja Gosnell, nan, nan, nan"
115,"Joel Coen, Ethan Coen, nan, nan, nan, nan, Ethan Coen, Joel Coen, nan, nan, nan, Ethan Coen, Joel Coen, nan, nan, nan, nan, John Dexter, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Joel Coen, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, J. Todd Anderson, nan"
116,"nan, Woody Allen, Woody Allen, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Morgan Neville, nan"
117,"nan, Brian De Palma, Art Linson, David Mamet, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Eric Schwab, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
